Player Name, Minutes Played, Games Played, PER, WS, WS48, OWS, DWS, BPM, OBPM, DBPM, VORP, Usage%, TS%, 3PA rate, FTA rate, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV% 
Jeff Green,1559,56,14.0,2.9,0.089,2.3,0.6,-0.9,0.5,-1.4,0.4,17.7,0.612,0.462,0.277,3.5,14.5,8.9,10.3,0.8,1.6,11.6
Blake Griffin,1959,54,21.7,6.4,0.157,4.1,2.3,5.5,4.7,0.8,3.7,30.4,0.596,0.366,0.426,4.0,20.9,12.1,27.0,1.0,1.0,14.5
Tim Hardaway,1642,51,14.3,1.7,0.051,1.2,0.6,-2.0,1.0,-2.9,0.0,25.7,0.529,0.47,0.307,1.8,9.8,5.7,13.1,1.3,0.4,8.8
James Harden,2019,54,30.8,10.5,0.249,8.3,2.2,11.8,11.2,0.6,7.0,40.3,0.622,0.557,0.471,2.8,17.7,10.0,40.2,2.8,1.7,15.4
Maurice Harkless,791,37,10.4,1.3,0.081,0.3,1.0,0.5,-1.6,2.0,0.5,12.7,0.523,0.35,0.162,5.4,13.3,9.4,4.7,2.0,3.2,11.0
Montrezl Harrell,1556,59,23.5,6.5,0.2,4.6,1.9,4.6,2.8,1.8,2.6,22.4,0.636,0.015,0.484,9.9,16.9,13.5,11.3,1.7,4.2,10.2
Devin Harris,673,45,11.5,1.2,0.083,0.4,0.7,-1.5,-1.0,-0.5,0.1,18.7,0.545,0.576,0.362,1.1,9.4,5.4,13.4,2.0,1.2,11.9
Gary Harris,956,32,13.8,1.8,0.088,1.0,0.8,-1.5,0.0,-1.5,0.1,21.8,0.526,0.389,0.225,2.5,8.6,5.5,13.0,1.6,1.3,8.0
Joe Harris,1626,54,13.8,3.9,0.116,2.9,1.0,0.8,1.8,-1.1,1.1,17.2,0.645,0.516,0.155,2.3,10.7,6.5,13.1,0.8,0.4,12.8
Tobias Harris,2034,59,18.5,5.7,0.134,3.8,1.9,1.3,1.9,-0.5,1.7,23.4,0.606,0.307,0.251,2.2,21.3,12.1,12.9,1.0,1.0,10.0
Shaquille Harrison,842,49,10.9,0.5,0.029,-0.5,1.0,-1.9,-3.7,1.8,0.0,16.3,0.462,0.26,0.318,2.1,14.4,8.2,14.0,3.3,1.9,11.8
Josh Hart,1425,54,9.8,1.9,0.063,0.2,1.6,-0.4,-1.5,1.1,0.6,14.1,0.528,0.595,0.179,2.2,12.9,7.7,7.4,1.8,1.9,10.9
Gordon Hayward,1379,53,15.1,3.5,0.123,1.7,1.9,0.6,0.1,0.6,0.9,19.2,0.554,0.397,0.267,3.3,15.6,9.5,18.7,1.8,1.0,13.0
Juan Hernangomez,1217,54,12.3,3.0,0.117,1.8,1.1,-0.3,0.1,-0.4,0.5,12.6,0.603,0.566,0.279,5.5,16.4,11.0,4.9,1.0,1.6,9.2
Willy Hernangomez,617,45,20.4,2.0,0.153,1.3,0.7,-0.8,-0.1,-0.8,0.2,22.8,0.582,0.129,0.476,15.6,28.0,21.7,10.4,0.9,2.1,13.8
Mario Hezonja,916,48,9.7,-0.3,-0.014,-1.1,0.8,-4.8,-4.1,-0.6,-0.6,20.5,0.474,0.337,0.218,2.3,18.6,10.1,8.3,2.4,0.6,12.6
Buddy Hield,1801,57,17.6,4.2,0.112,3.2,1.0,1.0,3.2,-2.2,1.4,24.7,0.604,0.475,0.134,4.2,12.7,8.4,11.2,0.7,1.0,10.0
George Hill,1012,45,11.9,2.1,0.102,1.1,1.0,-0.7,-0.6,-0.2,0.3,14.4,0.553,0.397,0.206,3.2,8.1,5.8,13.9,2.0,0.6,11.2
Solomon Hill,712,35,6.8,0.5,0.033,0.2,0.3,-1.9,-1.8,-0.1,0.0,9.5,0.493,0.543,0.209,4.5,11.2,7.9,7.4,1.2,0.9,14.0
Jrue Holiday,2145,59,19.5,5.1,0.113,3.4,1.6,2.9,2.9,0.0,2.7,25.4,0.552,0.303,0.241,3.5,10.9,7.3,32.2,2.1,2.0,14.3
Justin Holiday,1923,59,9.7,1.1,0.029,-0.7,1.9,-0.8,-1.5,0.8,0.6,15.8,0.507,0.619,0.128,1.6,12.6,7.1,9.2,2.2,1.3,11.6
Rondae Hollis-Jefferson,1075,48,12.0,1.0,0.044,-0.2,1.2,-3.3,-4.1,0.8,-0.4,20.9,0.466,0.109,0.382,6.5,19.2,12.9,11.1,1.5,1.7,10.1
Richaun Holmes,874,53,21.7,3.4,0.186,2.6,0.8,2.2,0.6,1.7,0.9,17.6,0.672,0.0,0.489,11.0,20.0,15.4,8.0,1.6,5.8,10.9
Rodney Hood,1326,49,13.3,1.9,0.069,1.8,0.1,-2.4,0.2,-2.6,-0.1,18.6,0.554,0.343,0.241,1.4,8.6,4.9,11.0,1.5,0.3,6.4
Al Horford,1370,48,19.7,5.1,0.18,2.9,2.2,5.1,1.9,3.2,2.5,18.5,0.598,0.305,0.102,7.1,18.4,12.7,20.4,1.5,4.5,12.9
